komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
jejak rekam nya pak anies ketika jadi gubernur di jakarta masya allah banyak perubahan nya dan satu lagi pak anis perduli terhadap masyarakat nya,"['jejak', 'rekam', 'nya', 'anies', 'gubernur', 'jakarta', 'masya', 'allah', 'ubah', 'nya', 'anis', 'duli', 'masyarakat', 'nya']",5,positif,1,1,positif
kpu di isi orang baik pasti amanah dan insyllah bpk anis b menang satu putaran,"['kpu', 'isi', 'orang', 'amanah', 'insyllah', 'bpk', 'anis', 'b', 'menang', 'putar']",1,positif,1,1,positif
pada dibayar berapa sih buzzer nya anis awowkwk mengakak mana banyak banget,"['bayar', 'sih', 'buzzer', 'nya', 'anis', 'awowkwk', 'akak', 'banget']",-1,negatif,-1,-1,negatif
anis baswedan sungguh pandai memaparkan dan menjelaskan maksud dan tujuan serta visi dan misinya,"['anis', 'baswedan', 'sungguh', 'pandai', 'papar', 'maksud', 'tuju', 'visi', 'misi']",3,positif,1,1,positif
kata anis baswedan sungguh mantap semoga anis baswedan bisa melaksanakan dan menjalankanvisi dan misinya,"['anis', 'baswedan', 'sungguh', 'mantap', 'moga', 'anis', 'baswedan', 'laksana', 'menjalankanvisi', 'misi']",9,positif,1,1,positif
gaya dan penampilan anis baswedan tidak berbeda jauh dari dulu hingga sekarang tetap sama seperti menjabat gubernur jakarta,"['gaya', 'tampil', 'anis', 'baswedan', 'beda', 'jabat', 'gubernur', 'jakarta']",-7,negatif,-1,-1,negatif
percaya diri dan bangga banget anis menceritakan saat masih menjabat gubernur dki tapi kalau di ingat2 dulu yang mencalonkan anis untuk gubernur dki siapa ya,"['percaya', 'bangga', 'banget', 'anis', 'cerita', 'jabat', 'gubernur', 'dki', 'ingat2', 'calon', 'anis', 'gubernur', 'dki', 'ya']",5,positif,1,1,positif
tong kosong nyaring bunyinya anis bawa,"['tong', 'kosong', 'nyaring', 'bunyi', 'anis', 'bawa']",-5,negatif,-1,-1,negatif
pak anis ketika menjadi gubernur saja sudah bisa mengubah jakarta sekarang waktu nya untuk mengubah negeri ini untuk menjadi lebih maju,"['anis', 'gubernur', 'ubah', 'jakarta', 'nya', 'ubah', 'negeri', 'maju']",0,netral,0,1,positif
salah fokus sama pak otto hasibuan 23040 brbrpak prabowo dengan belajar dan konfirmasi lawannya brstrategi pak anis sangat getol mempertahankan pendapat beliau wlpn berbeda dengan yang lainbrpak ganjar menelaah dan melihat apa yang terjadi dengan lawan tanpa menjatuhkan brbrtim netral ya,"['salah', 'fokus', 'otto', 'hasibuan', '23040', 'brbrpak', 'prabowo', 'ajar', 'konfirmasi', 'lawan', 'brstrategi', 'anis', 'getol', 'tahan', 'dapat', 'beliau', 'wlpn', 'beda', 'lainbrpak', 'ganjar', 'telaah', 'lawan', 'jatuh', 'brbrtim', 'netral', 'ya']",-8,negatif,-1,-1,negatif
glerr pak anis,"['glerr', 'anis']",0,netral,0,1,positif
anis bukan hanya sekedar pandai bicara secara publik namun dari setiap jawaban dapat kita temukan gagasan yang memang dibutuhkan rakyat indonesia,"['anis', 'dar', 'pandai', 'bicara', 'publik', 'temu', 'gagas', 'butuh', 'rakyat', 'indonesia']",-3,negatif,-1,-1,negatif
entah kenapa setelah menonton debat capres aku kurang yakin dengan program kerja pragib takut nya gagal mewujudkan visimisi setelah ditanya habishabisan oleh anis dan ganjar,"['tonton', 'debat', 'capres', 'program', 'kerja', 'pragib', 'takut', 'nya', 'gagal', 'wujud', 'visimisi', 'habishabisan', 'anis', 'ganjar']",-2,negatif,-1,-1,negatif
tetap optimis pak anisbiarkan allah swt yang menentukan yang baik,"['optimis', 'anisbiarkan', 'allah', 'swt', 'tentu']",2,positif,1,1,positif
cara pak anis berdialog sangat tegas dan tepat,"['anis', 'dialog']",-2,negatif,-1,1,positif
kalo saya dukung yang menangbrjika pak anis menang lebih mengedepankan kerja nyata bukan retorikabrjika pak prabowo menang ku rasa pak anis bisa di angkat jadi jubir karena memang pak anis lebih cakap buat bicarabapak sendiri sudah tau jalannyabrklo pak ganjar menang teruskan fisi dan misi yang sudah di wariskan demi menghemat anggaran belanja negara karena kita tau jika aturan di rubah biayanya tidak sedikit buat pleno2,"['kalo', 'dukung', 'menangbrjika', 'anis', 'menang', 'depan', 'kerja', 'nyata', 'retorikabrjika', 'prabowo', 'menang', 'ku', 'anis', 'angkat', 'jubir', 'anis', 'cakap', 'bicarabapak', 'tau', 'jalannyabrklo', 'ganjar', 'menang', 'terus', 'fisi', 'misi', 'waris', 'hemat', 'anggar', 'belanja', 'negara', 'tau', 'atur', 'rubah', 'biaya', 'pleno2']",4,positif,1,1,positif
anis 0 kerjanya kalo soal bicara dia unggul tapi tidak ada bukti nyata,"['anis', '0', 'kerja', 'kalo', 'bicara', 'unggul', 'bukti', 'nyata']",1,positif,1,1,positif
